file,id,title,composer,phase,duration_sec,loop_start_sec,loop_end_sec,loop_body_sec,loop,comment
00a.wav,0,東方妖恋談(昼主题曲),NKZ,昼主题曲,84.77,2.085,83.77,81.685,循环,東方夢時空の博麗 霊夢のテーマより\n昔のFM音源な曲も結構好きだったりします。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
01a.wav,1,恋色マジック(昼主题曲),NKZ,昼主题曲,63.377,3.142,62.377,59.235,循环,東方封魔録の霧雨魔理沙のテーマより\n結局落ち着いた雰囲気になりました。\n永夜抄でマスタースパークにパワーアップするんですね（未来形\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
02a.wav,2,メイドと血の懐中時計(昼主题曲),NKZ,昼主题曲,102.709,1.222,101.709,100.487,循环,東方紅魔郷の5面の道中曲より\nメイド＝ロックは確定事項のようで。\n自分のイメージは最初北欧メタルだったんですが、\n全然走ってないですょ\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
03a.wav,3,ブクレシュティの人形師(昼主题曲),NKZ,昼主题曲,119.474,3.124,118.473,115.349,循环,東方妖々夢の3面の道中曲より\nアリスの住む森は昼でも夜でも暗いですね。\n人形の種類が多いので、何度か雰囲気変えたつもりですが、\nあまり変わってなかったり\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
04a.wav,4,ラクトガール～少女密室(昼主题曲),NKZ,昼主题曲,103.514,2.752,102.514,99.762,循环,東方紅魔郷のパチュリのテーマより\n元は暗めの曲ですが\n萃夢想のパチェは元気そうです。（外出てるし\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
05a.wav,5,広有射怪鳥事～Till When？(昼主题曲),NKZ,昼主题曲,70.8,2.809,69.8,66.991,循环,東方妖々夢の妖夢のテーマより\n背景が墓地なのでつかみ所のない感じに\nちなみに冥土よりメイドのほうが好きだったりします（ぉ\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
06a.wav,6,亡き王女の為のセプテット(昼主题曲),NKZ,昼主题曲,72.493,23.498,71.493,47.995,循环,東方紅魔郷のレミリアのテーマより\n元の後半部分抜萃してみました。\nギターのところ、人が弾くには無理がありそうですが\nやっぱり妖怪なら大丈夫なんですかね？（某3姉妹とか\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
07a.wav,7,幽雅に咲かせ、墨染の桜～Border of Life(昼主题曲),NKZ,昼主题曲,55.694,12.02,54.694,42.674,循环,東方妖々夢の幽々子のテーマより\n平和でない丑三つ時を想定してみました。\n夢物語に終わりましたが･･･\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
08a.wav,8,夜が降りてくる　～ Evening Star(昼主题曲),ZUN,昼主题曲,147.901,5.998,146.901,140.903,循环,八雲紫のテーマです。\nこの曲は、不気味さと気持ちよさを兼ね備えた紫らしい曲になっていると思っています。それに西洋と東洋を混ぜずに、分離したまま一つの曲に纏める事が出来た、かなぁ。\n紫の場合、和洋折衷じゃ駄目なんですよね。分離したまま一つにしないと肝心の境界がなくなってしまいますから。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　ＺＵＮ
09a.wav,9,御伽の国の鬼が島　～ Missing Power(昼主题曲),ZUN,昼主题曲,196.358,3.506,195.358,191.852,循环,伊吹萃香のテーマです。\n子供に聞かせる御伽噺、桃太郎、一寸法師、そして金太郎などなど。\nこの曲はそんな御伽噺に出てくる、どこか楽しげで幸せそうだった鬼達をイメージしました。この恐ろしくなさげがたまらないですよね。\nさて、上の御伽噺の中に仲間外れが居るとしたら、一体どれだろう？\nそんな事でも考えながら、今日も鬼とお酒でも飲みましょうか。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　ＺＵＮ
