"#スペカナンバー","スペカ名","タイプ
255 敵カード
2 スペルカード
1 スキルカード
0 システムカード","消費","カード説明テキスト
デッキ構築画面でカードを選択すると出る説明文","出現ステージ
数字のステージ以降から出現する
0は初期所持
1～6　EASY
11～16　NORMAL
21～26　HARD
31～36　LUNA","レアリティ
0　コモン
1　アンコモン
2　レア
取得抽選で
コモン60％
アンコ30％
レア10％"
100,"クロースアップマジック",1,2,"ナイフを周りに回転させ跳躍　　触れた相手を切り裂く打撃技　　飛び上がりにグレイズ判定が在り上空からの弾幕攻撃に強い",0,0
101,"バウンスノーバウンス",1,1,"壁と天井で跳ね返るナイフを発射威力は微小だがナイフが壁を作り投網の様に敵の行動を制限する",0,0
102,"マジックスターソード",1,0,"時間加速で威力を重視したナイフ高速で正面にまとめて飛ばす為　真っ向からの撃ち合いに優れる",0,0
103,"バニシングエブリシング",1,4,"時間を停止させて咲夜が移動　　普通は移動中を認識できない為　一種のワープ技として機能する　立ち位置にカードを残しているが彼女自身マジックのつもりらしい",0,0
104,"プロペリングシルバー",1,2,"周回軌道で飛ぶ変則ナイフ投げ　壁として設置する使い方も勿論　周回軌道上に相手を置ければ　　強力な攻撃にもなる攻防一体",1,0
105,"スクウェアリコシェ",1,1,"質を重視した跳弾型のナイフ　　速度、反射回数、命中回数が増加アバウトに投げる使い方より　　連携を意識した運用が要求される",1,0
106,"離剣の見",1,0,"ナイフを投げた後に時間を操作　空中で停止させ待機させる技　　設置されたナイフは時間経過か　次の設置に反応して速度が戻る",1,0
107,"パーフェクトメイド",1,4,"敵の攻撃を受ける直前に時間停止背後へ回りつつナイフで取り囲む打撃に反応を集中しているため　飛び道具は後頭部に直撃する",1,0
200,"幻符「殺人ドール」",2,2,"広範囲にばら撒かれたナイフが　敵へと向きを変えて殺到",0,0
201,"時符「プライベートスクウェア」",2,3,"彼女の十八番の時間操作スペル　これは周囲の時間を遅延させる　相手がスローになり、攻防の面で圧倒的優位に立つことが出来る",0,0
202,"傷符「インスクライブレッドソウル」",2,3,"両手のナイフで敵を滅多切り　　発生が早く短射程だが範囲は広い無敵技でもあり隙も少ない万能技一見直接打撃のように見えるが　実は射撃扱いで有る事に注意",1,0
203,"幻葬「夜霧の幻影殺人鬼」",2,4,"殺人ドールの強化版スペル　　　ナイフが一度画面外に退避し　　目で追う事も困難な速度で敵へと襲い掛かる時間差攻撃",0,0
204,"「咲夜の世界」",2,5,"時間操作スペル最高峰の一つ　　周囲の時間を完全に停止させ　　一方的に攻撃を行う反則スペル　ただし消費、隙共に特大",1,2
205,"傷魂「ソウルスカルプチュア」",2,4,"傷符の強化版に当たるスペル　　威力、範囲共に大幅に拡大　　　",1,2
206,"銀符「シルバーバウンド」",2,2,"大量の反射ナイフを同時発射　　ナイフ単体の威力は抑え目だが　攻撃範囲と弾数はかなりの物　　",1,1
207,"奇術「エターナルミーク」",2,2,"前方へ向けてナイフを連射する　ヤケクソで投げているだけと言う噂があるが真偽は定かではない　",1,1
208,"速符「ルミネスリコシェ」",2,3,"画面を何度も跳ね回る貫通ナイフナイフは反射の度に攻撃力が復帰結果相手を長時間拘束する",1,0
209,"時符「咲夜特製ストップウォッチ」",2,4,"時間停止フィールドを飛ばす技　捕まった相手はフィールドから　離れるまで動きを封じられる",1,1
